hoi kameel, kameel, 0, 0.667825356246
hoi kameel, kameel, 1, 0.667825356246
hoi kameel, kameel, 2, 0.667825356246
hoi kameel, kameel, 3, 0.667825356246
hoi kameel, kameel, 4, 0.667825356246
hoi kameel, kameel, 5, 0.667825356246
hoi kameel, hoi, 0, 0.483150705983
hoi kameel, hoi, 1, 0.483150705983
hoi kameel, hoi, 2, 0.483150705983
hoi kameel, hoi, 3, 0.483150705983
hoi kameel, hoi, 4, 0.483150705983
hoi kameel, hoi, 5, 0.483150705983
betalen bank, betalen, 0, 0.896805361144
betalen bank, betalen, 1, 0.896805361144
betalen bank, betalen, 2, 0.896805361144
betalen bank, betalen, 3, 0.896805361144
betalen bank, betalen, 4, 0.896805361144
betalen bank, betalen, 5, 0.896805361144
betalen bank, bank, 0, 0.670087050124
betalen bank, bank, 1, 0.670087050124
betalen bank, bank, 2, 0.670087050124
betalen bank, bank, 3, 0.670087050124
betalen bank, bank, 4, 0.670087050124
betalen bank, bank, 5, 0.670087050124
